Neighbourhood,Neighbourhood Id,Healthy Food Index
West Humber-Clairville,1,23.82
Mount Olive-Silverstone-Jamestown,2,37.57
Thistletown-Beaumond Heights,3,42.26
Rexdale-Kipling,4,23.31
Elms-Old Rexdale,5,24.71
Kingsview Village-The Westway,6,35.69
Willowridge-Martingrove-Richview,7,30.46
Humber Heights-Westmount,8,32.82
Edenbridge-Humber Valley,9,46.41
Princess-Rosethorn,10,39.52
Eringate-Centennial-West Deane,11,10.43
Markland Wood,12,7.99
Etobicoke West Mall,13,15.41
Islington-City Centre West,14,31.01
Kingsway South,15,43.15
Stonegate-Queensway,16,31.23
Mimico,17,21.59
New Toronto,18,24.84
Long Branch,19,28.08
Alderwood,20,11.41
Humber Summit,21,32.33
Humbermede,22,20.52
Pelmo Park-Humberlea,23,21.71
Black Creek,24,41.84
Glenfield-Jane Heights,25,41.05
Downsview-Roding-CFB,26,23.72
York University Heights,27,47
Rustic,28,16.55
Maple Leaf,29,14.42
Brookhaven-Amesbury,30,43.1
Yorkdale-Glen Park,31,21.66
Englemount-Lawrence,32,43.98
Clanton Park,33,19.35
Bathurst Manor,34,18.8
Westminster-Branson,35,24.63
Newtonbrook West,36,26.14
Willowdale West,37,17.67
Lansing-Westgate,38,19.11
Bedford Park-Nortown,39,47.74
St.Andrew-Windfields,40,18.23
Bridle Path-Sunnybrook-York Mills,41,22.26
Banbury-Don Mills,42,21.31
Victoria Village,43,26.9
Flemingdon Park,44,21.66
Parkwoods-Donalda,45,33.6
Pleasant View,46,22.56
Don Valley Village,47,37.87
Hillcrest Village,48,48.46
Bayview Woods-Steeles,49,35.61
Newtonbrook East,50,29.12
Willowdale East,51,28.9
Bayview Village,52,32.12
Henry Farm,53,20.8
O'Connor-Parkview,54,37.63
Thorncliffe Park,55,34.53
Leaside-Bennington,56,40.94
Broadview North,57,31.36
Old East York,58,24.76
Danforth-East York,59,24.56
Woodbine-Lumsden,60,27.87
Taylor-Massey,61,38.19
East End-Danforth,62,35.29
The Beaches,63,31.53
Woodbine Corridor,64,29.04
Greenwood-Coxwell,65,44.29
Danforth,66,32.16
Playter Estates-Danforth,67,42.51
North Riverdale,68,47.17
Blake-Jones,69,39.98
South Riverdale,70,45.86
Cabbagetown-South St.James Town,71,43.71
Regent Park,72,42.52
Moss Park,73,42.76
North St.James Town,74,34.03
Church-Yonge Corridor,75,33.5
Bay Street Corridor,76,24.83
Waterfront Communities-The Island,77,31.61
Kensington-Chinatown,78,37.57
University,79,42.62
Palmerston-Little Italy,80,45.81
Trinity-Bellwoods,81,35.45
Niagara,82,34.94
Dufferin Grove,83,40.07
Little Portugal,84,37.58
South Parkdale,85,26.84
Roncesvalles,86,44.85
High Park-Swansea,87,46.53
High Park North,88,40.24
Runnymede-Bloor West Village,89,45.64
Junction Area,90,44.09
Weston-Pellam Park,91,52.57
Corso Italia-Davenport,92,37.94
Dovercourt-Wallace Emerson-Juncti,93,35.06
Wychwood,94,40.49
Annex,95,38.85
Casa Loma,96,32.33
Yonge-St.Clair,97,32.65
Rosedale-Moore Park,98,32.2
Mount Pleasant East,99,50.4
Yonge-Eglinton,100,31.95
Forest Hill South,101,18.49
Forest Hill North,102,29.11
Lawrence Park South,103,37.53
Mount Pleasant West,104,41.6
Lawrence Park North,105,52.03
Humewood-Cedarvale,106,32.85
Oakwood Village,107,41.07
Briar Hill-Belgravia,108,34.23
Caledonia-Fairbank,109,53.48
Keelesdale-Eglinton West,110,34.48
Rockcliffe-Smythe,111,31.87
Beechborough-Greenbrook,112,25.57
Weston,113,41.45
Lambton Baby Point,114,27.28
Mount Dennis,115,29.91
Steeles,116,11.36
L'Amoreaux,117,30.73
Tam O'Shanter-Sullivan,118,41.37
Wexford/Maryvale,119,42.08
Clairlea-Birchmount,120,30.8
Oakridge,121,35.43
Birchcliffe-Cliffside,122,32.74
Cliffcrest,123,25.55
Kennedy Park,124,34.96
Ionview,125,47.14
Dorset Park,126,32.27
Bendale,127,29.12
Agincourt South-Malvern West,128,35.26
Agincourt North,129,38.09
Milliken,130,25.25
Rouge,131,21.95
Malvern,132,38.63
Centennial Scarborough,133,9.35
Highland Creek,134,0.63
Morningside,135,6.67
West Hill,136,28.06
Woburn,137,27.73
Eglinton East,138,34.79
Scarborough Village,139,35.48
Guildwood,140,15.57
